uf,cod_uf,cod_mun,municipio,populacao_raw,populacao,cod_ibge,municipio_clean
RO,110,00150,Alta Floresta D'Oeste,22787.0,22787,11000150,ALTA FLORESTA D'OESTE
RO,110,00230,Ariquemes,109170.0,109170,11000230,ARIQUEMES
RO,110,00310,Cabixi,5664.0,5664,11000310,CABIXI
RO,110,00490,Cacoal,98280.0,98280,11000490,CACOAL
RO,110,00560,Cerejeiras,16966.0,16966,11000560,CEREJEIRAS
RO,110,00640,Colorado do Oeste,16508.0,16508,11000640,COLORADO DO OESTE
RO,110,00720,Corumbiara,7968.0,7968,11000720,CORUMBIARA
RO,110,00800,Costa Marques,13510.0,13510,11000800,COSTA MARQUES
RO,110,00980,Espigão D'Oeste,32842.0,32842,11000980,ESPIGAO D'OESTE
RO,110,01060,Guajará-Mirim,43594.0,43594,11001060,GUAJARA-MIRIM
RO,110,01140,Jaru,55682.0,55682,11001140,JARU
RO,110,01220,Ji-Paraná,140101.0,140101,11001220,JI-PARANA
RO,110,01300,Machadinho D'Oeste,34149.0,34149,11001300,MACHADINHO D'OESTE
RO,110,01480,Nova Brasilândia D'Oeste,16374.0,16374,11001480,NOVA BRASILANDIA D'OESTE
RO,110,01550,Ouro Preto do Oeste,38684.0,38684,11001550,OURO PRETO DO OESTE
RO,110,01890,Pimenta Bueno,39220.0,39220,11001890,PIMENTA BUENO
RO,110,02050,Porto Velho,517709.0,517709,11002050,PORTO VELHO
RO,110,02540,Presidente Médici,20443.0,20443,11002540,PRESIDENTE MEDICI
RO,110,02620,Rio Crespo,3767.0,3767,11002620,RIO CRESPO
RO,110,02880,Rolim de Moura,62959.0,62959,11002880,ROLIM DE MOURA
RO,110,02960,Santa Luzia D'Oeste,7837.0,7837,11002960,SANTA LUZIA D'OESTE
RO,110,03040,Vilhena,109651.0,109651,11003040,VILHENA
RO,110,03200,São Miguel do Guaporé,22305.0,22305,11003200,SAO MIGUEL DO GUAPORE
RO,110,03380,Nova Mamoré,28701.0,28701,11003380,NOVA MAMORE
RO,110,03460,Alvorada D'Oeste,13720.0,13720,11003460,ALVORADA D'OESTE
RO,110,03790,Alto Alegre dos Parecis,12237.0,12237,11003790,ALTO ALEGRE DOS PARECIS
RO,110,04030,Alto Paraíso,17467.0,17467,11004030,ALTO PARAISO
RO,110,04520,Buritis,30649.0,30649,11004520,BURITIS
RO,110,05020,Novo Horizonte do Oeste,7972.0,7972,11005020,NOVO HORIZONTE DO OESTE
RO,110,06010,Cacaulândia,4292.0,4292,11006010,CACAULANDIA
RO,110,07000,Campo Novo de Rondônia,9095.0,9095,11007000,CAMPO NOVO DE RONDONIA
RO,110,08090,Candeias do Jamari,24313.0,24313,11008090,CANDEIAS DO JAMARI
RO,110,09080,Castanheiras,3450.0,3450,11009080,CASTANHEIRAS
RO,110,09240,Chupinguaia,10191.0,10191,11009240,CHUPINGUAIA
RO,110,09400,Cujubim,15877.0,15877,11009400,CUJUBIM
RO,110,10050,Governador Jorge Teixeira,8340.0,8340,11010050,GOVERNADOR JORGE TEIXEIRA
RO,110,11040,Itapuã do Oeste,9228.0,9228,11011040,ITAPUA DO OESTE
RO,110,12030,Ministro Andreazza,6519.0,6519,11012030,MINISTRO ANDREAZZA
RO,110,13020,Mirante da Serra,9657.0,9657,11013020,MIRANTE DA SERRA
RO,110,14010,Monte Negro,12168.0,12168,11014010,MONTE NEGRO
RO,110,14350,Nova União,6541.0,6541,11014350,NOVA UNIAO
RO,110,14500,Parecis,4372.0,4372,11014500,PARECIS
RO,110,14680,Pimenteiras do Oeste,2309.0,2309,11014680,PIMENTEIRAS DO OESTE
RO,110,14760,Primavera de Rondônia,3268.0,3268,11014760,PRIMAVERA DE RONDONIA
RO,110,14840,São Felipe D'Oeste,5588.0,5588,11014840,SAO FELIPE D'OESTE
RO,110,14920,São Francisco do Guaporé,17557.0,17557,11014920,SAO FRANCISCO DO GUAPORE
RO,110,15000,Seringueiras,12965.0,12965,11015000,SERINGUEIRAS
RO,110,15590,Teixeirópolis,4521.0,4521,11015590,TEIXEIROPOLIS
RO,110,16090,Theobroma,8459.0,8459,11016090,THEOBROMA
RO,110,17080,Urupá,11314.0,11314,11017080,URUPA
RO,110,17570,Vale do Anari,8220.0,8220,11017570,VALE DO ANARI
RO,110,18070,Vale do Paraíso,6790.0,6790,11018070,VALE DO PARAISO
AC,120,00130,Acrelândia,14712.0,14712,12000130,ACRELANDIA
AC,120,00540,Assis Brasil,8648.0,8648,12000540,ASSIS BRASIL
AC,120,01040,Brasiléia,28028.0,28028,12001040,BRASILEIA
AC,120,01380,Bujari,13928.0,13928,12001380,BUJARI
AC,120,01790,Capixaba,10981.0,10981,12001790,CAPIXABA
AC,120,02030,Cruzeiro do Sul,98916.0,98916,12002030,CRUZEIRO DO SUL
AC,120,02520,Epitaciolândia,19874.0,19874,12002520,EPITACIOLANDIA
AC,120,03020,Feijó,37764.0,37764,12003020,FEIJO
AC,120,03280,Jordão,9884.0,9884,12003280,JORDAO
AC,120,03360,Mâncio Lima,20479.0,20479,12003360,MANCIO LIMA
AC,120,03440,Manoel Urbano,12923.0,12923,12003440,MANOEL URBANO
AC,120,03510,Marechal Thaumaturgo,18057.0,18057,12003510,MARECHAL THAUMATURGO
AC,120,03850,Plácido de Castro,17107.0,17107,12003850,PLACIDO DE CASTRO
AC,120,03930,Porto Walter,11333.0,11333,12003930,PORTO WALTER
AC,120,04010,Rio Branco,389001.0,389001,12004010,RIO BRANCO
AC,120,04270,Rodrigues Alves,15560.0,15560,12004270,RODRIGUES ALVES
AC,120,04350,Santa Rosa do Purus,7217.0,7217,12004350,SANTA ROSA DO PURUS
AC,120,04500,Senador Guiomard,22402.0,22402,12004500,SENADOR GUIOMARD
AC,120,05000,Sena Madureira,44049.0,44049,12005000,SENA MADUREIRA
AC,120,06090,Tarauacá,46816.0,46816,12006090,TARAUACA
AC,120,07080,Xapuri,19170.0,19170,12007080,XAPURI
AC,120,08070,Porto Acre,17523.0,17523,12008070,PORTO ACRE
AM,130,00290,Alvarães,16806.0,16806,13000290,ALVARAES
AM,130,00600,Amaturá,11533.0,11533,13000600,AMATURA
AM,130,00860,Anamã,9981.0,9981,13000860,ANAMA
AM,130,01020,Anori,18056.0,18056,13001020,ANORI
AM,130,01440,Apuí,21781.0,21781,13001440,APUI
AM,130,02010,Atalaia do Norte,15889.0,15889,13002010,ATALAIA DO NORTE
AM,130,03000,Autazes,45960.0,45960,13003000,AUTAZES
AM,130,04090,Barcelos,18210.0,18210,13004090,BARCELOS
AM,130,05080,Barreirinha,33722.0,33722,13005080,BARREIRINHA
AM,130,06070,Benjamin Constant,40908.0,40908,13006070,BENJAMIN CONSTANT
AM,130,06310,Beruri,22495.0,22495,13006310,BERURI
AM,130,06800,Boa Vista do Ramos,26479.0,26479,13006800,BOA VISTA DO RAMOS
AM,130,07060,Boca do Acre,38792.0,38792,13007060,BOCA DO ACRE
AM,130,08050,Borba,34869.0,34869,13008050,BORBA
AM,130,08390,Caapiranga,14806.0,14806,13008390,CAAPIRANGA
AM,130,09040,Canutama,18109.0,18109,13009040,CANUTAMA
AM,130,10010,Carauari,31130.0,31130,13010010,CARAUARI
AM,130,11000,Careiro,32336.0,32336,13011000,CAREIRO
AM,130,11590,Careiro da Várzea,20324.0,20324,13011590,CAREIRO DA VARZEA
AM,130,12090,Coari,73576.0,73576,13012090,COARI
AM,130,13080,Codajás,24572.0,24572,13013080,CODAJAS
AM,130,14070,Eirunepé,35793.0,35793,13014070,EIRUNEPE
AM,130,15060,Envira,17985.0,17985,13015060,ENVIRA
AM,130,16050,Fonte Boa,28227.0,28227,13016050,FONTE BOA
AM,130,16540,Guajará,14344.0,14344,13016540,GUAJARA
AM,130,17040,Humaitá,63454.0,63454,13017040,HUMAITA
AM,130,18030,Ipixuna,25629.0,25629,13018030,IPIXUNA
AM,130,18520,Iranduba,68862.0,68862,13018520,IRANDUBA
AM,130,19020,Itacoatiara,113917.0,113917,13019020,ITACOATIARA
AM,130,19510,Itamarati,11956.0,11956,13019510,ITAMARATI
AM,130,20090,Itapiranga,10955.0,10955,13020090,ITAPIRANGA
AM,130,21080,Japurá,9420.0,9420,13021080,JAPURA
AM,130,22070,Juruá,11093.0,11093,13022070,JURUA
AM,130,23060,Jutaí,28202.0,28202,13023060,JUTAI
AM,130,24050,Lábrea,49469.0,49469,13024050,LABREA
AM,130,25040,Manacapuru,111751.0,111751,13025040,MANACAPURU
AM,130,25530,Manaquiri,16211.0,16211,13025530,MANAQUIRI
AM,130,26030,Manaus,2303732.0,2303732,13026030,MANAUS
AM,130,27020,Manicoré,58018.0,58018,13027020,MANICORE
AM,130,28010,Maraã,15815.0,15815,13028010,MARAA
AM,130,29000,Maués,66336.0,66336,13029000,MAUES
AM,130,30070,Nhamundá,21251.0,21251,13030070,NHAMUNDA
AM,130,31060,Nova Olinda do Norte,28123.0,28123,13031060,NOVA OLINDA DO NORTE
AM,130,32050,Novo Airão,16562.0,16562,13032050,NOVO AIRAO
AM,130,33040,Novo Aripuanã,25325.0,25325,13033040,NOVO ARIPUANA
AM,130,34030,Parintins,101855.0,101855,13034030,PARINTINS
